Counts,Freq,Cluster,Image
False Negative,697018,1,KPMP_uS-X001Y008_Annotations
False Positive,635549,1,KPMP_uS-X001Y008_Annotations
True Negative,597605,1,KPMP_uS-X001Y008_Annotations
True Positive,142348,1,KPMP_uS-X001Y008_Annotations
False Negative,647600,2,KPMP_uS-X001Y008_Annotations
False Positive,708031,2,KPMP_uS-X001Y008_Annotations
True Negative,443229,2,KPMP_uS-X001Y008_Annotations
True Positive,273660,2,KPMP_uS-X001Y008_Annotations
False Negative,124068,3,KPMP_uS-X001Y008_Annotations
False Positive,100788,3,KPMP_uS-X001Y008_Annotations
True Negative,1845676,3,KPMP_uS-X001Y008_Annotations
True Positive,1988,3,KPMP_uS-X001Y008_Annotations
False Negative,137350,4,KPMP_uS-X001Y008_Annotations
False Positive,161668,4,KPMP_uS-X001Y008_Annotations
True Negative,1725014,4,KPMP_uS-X001Y008_Annotations
True Positive,48488,4,KPMP_uS-X001Y008_Annotations
False Negative,785919,1,KPMP_uS-X001Y009_Annotations
False Positive,296627,1,KPMP_uS-X001Y009_Annotations
True Negative,945250,1,KPMP_uS-X001Y009_Annotations
True Positive,44724,1,KPMP_uS-X001Y009_Annotations
False Negative,787386,2,KPMP_uS-X001Y009_Annotations
False Positive,18538,2,KPMP_uS-X001Y009_Annotations
True Negative,1265785,2,KPMP_uS-X001Y009_Annotations
True Positive,811,2,KPMP_uS-X001Y009_Annotations
False Negative,53936,3,KPMP_uS-X001Y009_Annotations
False Positive,316753,3,KPMP_uS-X001Y009_Annotations
True Negative,1667760,3,KPMP_uS-X001Y009_Annotations
True Positive,34071,3,KPMP_uS-X001Y009_Annotations
False Negative,67255,4,KPMP_uS-X001Y009_Annotations
False Positive,226167,4,KPMP_uS-X001Y009_Annotations
True Negative,1711357,4,KPMP_uS-X001Y009_Annotations
True Positive,67741,4,KPMP_uS-X001Y009_Annotations
False Negative,16653,5,KPMP_uS-X001Y009_Annotations
False Positive,761340,5,KPMP_uS-X001Y009_Annotations
True Negative,1294419,5,KPMP_uS-X001Y009_Annotations
True Positive,108,5,KPMP_uS-X001Y009_Annotations
False Negative,16999,6,KPMP_uS-X001Y009_Annotations
