Counts,Freq,Cluster,Image
False Negative,497602,1,KPMP_uS-X001Y008_Annotations
False Positive,299596,1,KPMP_uS-X001Y008_Annotations
True Negative,933558,1,KPMP_uS-X001Y008_Annotations
True Positive,342844,1,KPMP_uS-X001Y008_Annotations
False Negative,332972,2,KPMP_uS-X001Y008_Annotations
False Positive,159245,2,KPMP_uS-X001Y008_Annotations
True Negative,993095,2,KPMP_uS-X001Y008_Annotations
True Positive,588288,2,KPMP_uS-X001Y008_Annotations
False Negative,48034,3,KPMP_uS-X001Y008_Annotations
False Positive,429614,3,KPMP_uS-X001Y008_Annotations
True Negative,1517930,3,KPMP_uS-X001Y008_Annotations
True Positive,78022,3,KPMP_uS-X001Y008_Annotations
False Negative,74288,4,KPMP_uS-X001Y008_Annotations
False Positive,64441,4,KPMP_uS-X001Y008_Annotations
True Negative,1823321,4,KPMP_uS-X001Y008_Annotations
True Positive,111550,4,KPMP_uS-X001Y008_Annotations
False Negative,768879,1,KPMP_uS-X001Y009_Annotations
False Positive,345818,1,KPMP_uS-X001Y009_Annotations
True Negative,896061,1,KPMP_uS-X001Y009_Annotations
True Positive,62842,1,KPMP_uS-X001Y009_Annotations
False Negative,561010,2,KPMP_uS-X001Y009_Annotations
False Positive,290403,2,KPMP_uS-X001Y009_Annotations
True Negative,994998,2,KPMP_uS-X001Y009_Annotations
True Positive,227189,2,KPMP_uS-X001Y009_Annotations
False Negative,58094,3,KPMP_uS-X001Y009_Annotations
False Positive,432367,3,KPMP_uS-X001Y009_Annotations
True Negative,1553226,3,KPMP_uS-X001Y009_Annotations
True Positive,29913,3,KPMP_uS-X001Y009_Annotations
False Negative,122659,4,KPMP_uS-X001Y009_Annotations
False Positive,48160,4,KPMP_uS-X001Y009_Annotations
True Negative,1890444,4,KPMP_uS-X001Y009_Annotations
True Positive,12337,4,KPMP_uS-X001Y009_Annotations
False Negative,16739,5,KPMP_uS-X001Y009_Annotations
False Positive,267695,5,KPMP_uS-X001Y009_Annotations
True Negative,1789144,5,KPMP_uS-X001Y009_Annotations
True Positive,22,5,KPMP_uS-X001Y009_Annotations
False Negative,213653,6,KPMP_uS-X001Y009_Annotations
False Positive,356591,6,KPMP_uS-X001Y009_Annotations
True Negative,1503093,6,KPMP_uS-X001Y009_Annotations
