Counts,Freq,Cluster,Image
False Negative,494557,1,KPMP_uS-X001Y008_Annotations
False Positive,309819,1,KPMP_uS-X001Y008_Annotations
True Negative,923335,1,KPMP_uS-X001Y008_Annotations
True Positive,345889,1,KPMP_uS-X001Y008_Annotations
False Negative,341711,2,KPMP_uS-X001Y008_Annotations
False Positive,122721,2,KPMP_uS-X001Y008_Annotations
True Negative,1029619,2,KPMP_uS-X001Y008_Annotations
True Positive,579549,2,KPMP_uS-X001Y008_Annotations
False Negative,25336,3,KPMP_uS-X001Y008_Annotations
False Positive,489032,3,KPMP_uS-X001Y008_Annotations
True Negative,1458512,3,KPMP_uS-X001Y008_Annotations
True Positive,100720,3,KPMP_uS-X001Y008_Annotations
False Negative,83029,4,KPMP_uS-X001Y008_Annotations
False Positive,23061,4,KPMP_uS-X001Y008_Annotations
True Negative,1864701,4,KPMP_uS-X001Y008_Annotations
True Positive,102809,4,KPMP_uS-X001Y008_Annotations
False Negative,643037,1,KPMP_uS-X001Y009_Annotations
False Positive,295799,1,KPMP_uS-X001Y009_Annotations
True Negative,946080,1,KPMP_uS-X001Y009_Annotations
True Positive,188684,1,KPMP_uS-X001Y009_Annotations
False Negative,492807,2,KPMP_uS-X001Y009_Annotations
False Positive,76794,2,KPMP_uS-X001Y009_Annotations
True Negative,1208607,2,KPMP_uS-X001Y009_Annotations
True Positive,295392,2,KPMP_uS-X001Y009_Annotations
False Negative,73074,3,KPMP_uS-X001Y009_Annotations
False Positive,323509,3,KPMP_uS-X001Y009_Annotations
True Negative,1662084,3,KPMP_uS-X001Y009_Annotations
True Positive,14933,3,KPMP_uS-X001Y009_Annotations
False Negative,103183,4,KPMP_uS-X001Y009_Annotations
False Positive,558835,4,KPMP_uS-X001Y009_Annotations
True Negative,1379769,4,KPMP_uS-X001Y009_Annotations
True Positive,31813,4,KPMP_uS-X001Y009_Annotations
False Negative,686,5,KPMP_uS-X001Y009_Annotations
False Positive,19036,5,KPMP_uS-X001Y009_Annotations
True Negative,2037803,5,KPMP_uS-X001Y009_Annotations
True Positive,16075,5,KPMP_uS-X001Y009_Annotations
False Negative,24478,6,KPMP_uS-X001Y009_Annotations
False Positive,63292,6,KPMP_uS-X001Y009_Annotations
True Negative,1796392,6,KPMP_uS-X001Y009_Annotations
True Positive,189438,6,KPMP_uS-X001Y009_Annotations
False Negative,775756,1,KPMP_uS-X001Y010_Annotations
False Positive,328427,1,KPMP_uS-X001Y010_Annotations
True Negative,932667,1,KPMP_uS-X001Y010_Annotations
True Positive,36750,1,KPMP_uS-X001Y010_Annotations
False Negative,535414,2,KPMP_uS-X001Y010_Annotations
False Positive,478863,2,KPMP_uS-X001Y010_Annotations
True Negative,962630,2,KPMP_uS-X001Y010_Annotations
True Positive,96693,2,KPMP_uS-X001Y010_Annotations
False Negative,129552,3,KPMP_uS-X001Y010_Annotations
False Positive,170426,3,KPMP_uS-X001Y010_Annotations
True Negative,1763056,3,KPMP_uS-X001Y010_Annotations
True Positive,10566,3,KPMP_uS-X001Y010_Annotations
False Negative,7338,4,KPMP_uS-X001Y010_Annotations
False Positive,452547,4,KPMP_uS-X001Y010_Annotations
True Negative,1613715,4,KPMP_uS-X001Y010_Annotations
False Negative,10563,5,KPMP_uS-X001Y010_Annotations
False Positive,28360,5,KPMP_uS-X001Y010_Annotations
True Negative,1563709,5,KPMP_uS-X001Y010_Annotations
True Positive,470968,5,KPMP_uS-X001Y010_Annotations
False Negative,279164,1,KPMP_uS-X002Y009_Annotations
False Positive,302368,1,KPMP_uS-X002Y009_Annotations
True Negative,659067,1,KPMP_uS-X002Y009_Annotations
True Positive,833001,1,KPMP_uS-X002Y009_Annotations
False Negative,302368,2,KPMP_uS-X002Y009_Annotations
False Positive,279164,2,KPMP_uS-X002Y009_Annotations
True Negative,833001,2,KPMP_uS-X002Y009_Annotations
True Positive,659067,2,KPMP_uS-X002Y009_Annotations
False Negative,159850,1,KPMP_uS-X002Y011_Annotations
False Positive,345778,1,KPMP_uS-X002Y011_Annotations
True Negative,941941,1,KPMP_uS-X002Y011_Annotations
True Positive,626031,1,KPMP_uS-X002Y011_Annotations
False Negative,345778,2,KPMP_uS-X002Y011_Annotations
False Positive,159850,2,KPMP_uS-X002Y011_Annotations
True Negative,626031,2,KPMP_uS-X002Y011_Annotations
True Positive,941941,2,KPMP_uS-X002Y011_Annotations
False Negative,491520,1,KPMP_uS-X002Y013_Annotations
False Positive,177080,1,KPMP_uS-X002Y013_Annotations
True Negative,983144,1,KPMP_uS-X002Y013_Annotations
True Positive,421856,1,KPMP_uS-X002Y013_Annotations
False Negative,495420,2,KPMP_uS-X002Y013_Annotations
False Positive,103431,2,KPMP_uS-X002Y013_Annotations
True Negative,881869,2,KPMP_uS-X002Y013_Annotations
True Positive,592880,2,KPMP_uS-X002Y013_Annotations
False Negative,33501,3,KPMP_uS-X002Y013_Annotations
False Positive,739930,3,KPMP_uS-X002Y013_Annotations
True Negative,1261746,3,KPMP_uS-X002Y013_Annotations
True Positive,38423,3,KPMP_uS-X002Y013_Annotations
False Negative,680010,1,KPMP_uS-X002Y015_Annotations
False Positive,336275,1,KPMP_uS-X002Y015_Annotations
True Negative,991582,1,KPMP_uS-X002Y015_Annotations
True Positive,65733,1,KPMP_uS-X002Y015_Annotations
False Negative,70210,2,KPMP_uS-X002Y015_Annotations
False Positive,522663,2,KPMP_uS-X002Y015_Annotations
True Negative,1444951,2,KPMP_uS-X002Y015_Annotations
True Positive,35776,2,KPMP_uS-X002Y015_Annotations
False Negative,606803,3,KPMP_uS-X002Y015_Annotations
False Positive,40112,3,KPMP_uS-X002Y015_Annotations
True Negative,1130541,3,KPMP_uS-X002Y015_Annotations
True Positive,296144,3,KPMP_uS-X002Y015_Annotations
False Negative,181753,4,KPMP_uS-X002Y015_Annotations
False Positive,441686,4,KPMP_uS-X002Y015_Annotations
True Negative,1344092,4,KPMP_uS-X002Y015_Annotations
True Positive,106069,4,KPMP_uS-X002Y015_Annotations
False Negative,4889,5,KPMP_uS-X002Y015_Annotations
False Positive,202929,5,KPMP_uS-X002Y015_Annotations
True Negative,1839569,5,KPMP_uS-X002Y015_Annotations
True Positive,26213,5,KPMP_uS-X002Y015_Annotations
False Negative,601817,1,KPMP_uS-X002Y019_Annotations
False Positive,147647,1,KPMP_uS-X002Y019_Annotations
True Negative,626588,1,KPMP_uS-X002Y019_Annotations
True Positive,697548,1,KPMP_uS-X002Y019_Annotations
False Negative,184422,2,KPMP_uS-X002Y019_Annotations
False Positive,335165,2,KPMP_uS-X002Y019_Annotations
True Negative,1428895,2,KPMP_uS-X002Y019_Annotations
True Positive,125118,2,KPMP_uS-X002Y019_Annotations
False Negative,184130,3,KPMP_uS-X002Y019_Annotations
False Positive,262345,3,KPMP_uS-X002Y019_Annotations
True Negative,1491998,3,KPMP_uS-X002Y019_Annotations
True Positive,135127,3,KPMP_uS-X002Y019_Annotations
False Negative,2059,4,KPMP_uS-X002Y019_Annotations
False Positive,227271,4,KPMP_uS-X002Y019_Annotations
True Negative,1700891,4,KPMP_uS-X002Y019_Annotations
True Positive,143379,4,KPMP_uS-X002Y019_Annotations
False Negative,640243,1,KPMP_uS-X002Y021_Annotations
False Positive,244426,1,KPMP_uS-X002Y021_Annotations
True Negative,896045,1,KPMP_uS-X002Y021_Annotations
True Positive,292886,1,KPMP_uS-X002Y021_Annotations
False Negative,298465,2,KPMP_uS-X002Y021_Annotations
False Positive,398533,2,KPMP_uS-X002Y021_Annotations
True Negative,1301837,2,KPMP_uS-X002Y021_Annotations
True Positive,74765,2,KPMP_uS-X002Y021_Annotations
False Negative,77631,3,KPMP_uS-X002Y021_Annotations
False Positive,277983,3,KPMP_uS-X002Y021_Annotations
True Negative,1716783,3,KPMP_uS-X002Y021_Annotations
True Positive,1203,3,KPMP_uS-X002Y021_Annotations
False Negative,246274,4,KPMP_uS-X002Y021_Annotations
False Positive,209942,4,KPMP_uS-X002Y021_Annotations
True Negative,1462641,4,KPMP_uS-X002Y021_Annotations
True Positive,154743,4,KPMP_uS-X002Y021_Annotations
False Negative,22050,5,KPMP_uS-X002Y021_Annotations
False Positive,274375,5,KPMP_uS-X002Y021_Annotations
True Negative,1746000,5,KPMP_uS-X002Y021_Annotations
True Positive,31175,5,KPMP_uS-X002Y021_Annotations
False Negative,234157,6,KPMP_uS-X002Y021_Annotations
False Positive,113561,6,KPMP_uS-X002Y021_Annotations
True Negative,1725874,6,KPMP_uS-X002Y021_Annotations
True Positive,8,6,KPMP_uS-X002Y021_Annotations
False Negative,283688,1,KPMP_uS-X003Y006_Annotations
False Positive,330023,1,KPMP_uS-X003Y006_Annotations
True Negative,638829,1,KPMP_uS-X003Y006_Annotations
True Positive,821060,1,KPMP_uS-X003Y006_Annotations
False Negative,312518,2,KPMP_uS-X003Y006_Annotations
False Positive,198878,2,KPMP_uS-X003Y006_Annotations
True Negative,1045745,2,KPMP_uS-X003Y006_Annotations
True Positive,516459,2,KPMP_uS-X003Y006_Annotations
False Negative,49495,3,KPMP_uS-X003Y006_Annotations
False Positive,116800,3,KPMP_uS-X003Y006_Annotations
True Negative,1816925,3,KPMP_uS-X003Y006_Annotations
True Positive,90380,3,KPMP_uS-X003Y006_Annotations
