Counts,Freq,Cluster,Image
False Negative,670752,1,KPMP_uS-X001Y006_Annotations
False Positive,150661,1,KPMP_uS-X001Y006_Annotations
True Negative,827607,1,KPMP_uS-X001Y006_Annotations
True Positive,424580,1,KPMP_uS-X001Y006_Annotations
False Negative,634867,2,KPMP_uS-X001Y006_Annotations
False Positive,385478,2,KPMP_uS-X001Y006_Annotations
True Negative,1044891,2,KPMP_uS-X001Y006_Annotations
True Positive,8364,2,KPMP_uS-X001Y006_Annotations
False Negative,116425,3,KPMP_uS-X001Y006_Annotations
False Positive,425251,3,KPMP_uS-X001Y006_Annotations
True Negative,1487815,3,KPMP_uS-X001Y006_Annotations
True Positive,44109,3,KPMP_uS-X001Y006_Annotations
False Negative,142639,4,KPMP_uS-X001Y006_Annotations
False Positive,403869,4,KPMP_uS-X001Y006_Annotations
True Negative,1515064,4,KPMP_uS-X001Y006_Annotations
True Positive,12028,4,KPMP_uS-X001Y006_Annotations
False Negative,18743,5,KPMP_uS-X001Y006_Annotations
False Positive,218167,5,KPMP_uS-X001Y006_Annotations
True Negative,1835597,5,KPMP_uS-X001Y006_Annotations
True Positive,1093,5,KPMP_uS-X001Y006_Annotations
False Negative,52797,1,KPMP_uS-X001Y007_Annotations
False Positive,642598,1,KPMP_uS-X001Y007_Annotations
True Negative,712926,1,KPMP_uS-X001Y007_Annotations
True Positive,665279,1,KPMP_uS-X001Y007_Annotations
False Negative,963692,2,KPMP_uS-X001Y007_Annotations
False Positive,16436,2,KPMP_uS-X001Y007_Annotations
True Negative,750410,2,KPMP_uS-X001Y007_Annotations
True Positive,343062,2,KPMP_uS-X001Y007_Annotations
False Negative,30077,3,KPMP_uS-X001Y007_Annotations
False Positive,387532,3,KPMP_uS-X001Y007_Annotations
True Negative,1637298,3,KPMP_uS-X001Y007_Annotations
True Positive,18693,3,KPMP_uS-X001Y007_Annotations
False Negative,434663,1,KPMP_uS-X001Y008_Annotations
False Positive,248485,1,KPMP_uS-X001Y008_Annotations
True Negative,984669,1,KPMP_uS-X001Y008_Annotations
True Positive,405783,1,KPMP_uS-X001Y008_Annotations
False Negative,152311,2,KPMP_uS-X001Y008_Annotations
False Positive,402441,2,KPMP_uS-X001Y008_Annotations
True Negative,749899,2,KPMP_uS-X001Y008_Annotations
True Positive,768949,2,KPMP_uS-X001Y008_Annotations
False Negative,113459,3,KPMP_uS-X001Y008_Annotations
False Positive,84819,3,KPMP_uS-X001Y008_Annotations
True Negative,1862725,3,KPMP_uS-X001Y008_Annotations
True Positive,12597,3,KPMP_uS-X001Y008_Annotations
False Negative,112840,4,KPMP_uS-X001Y008_Annotations
False Positive,77528,4,KPMP_uS-X001Y008_Annotations
True Negative,1810234,4,KPMP_uS-X001Y008_Annotations
True Positive,72998,4,KPMP_uS-X001Y008_Annotations
False Negative,811339,1,KPMP_uS-X001Y009_Annotations
False Positive,152678,1,KPMP_uS-X001Y009_Annotations
True Negative,1089201,1,KPMP_uS-X001Y009_Annotations
True Positive,20382,1,KPMP_uS-X001Y009_Annotations
False Negative,700699,2,KPMP_uS-X001Y009_Annotations
False Positive,222496,2,KPMP_uS-X001Y009_Annotations
True Negative,1062905,2,KPMP_uS-X001Y009_Annotations
True Positive,87500,2,KPMP_uS-X001Y009_Annotations
False Negative,76161,3,KPMP_uS-X001Y009_Annotations
False Positive,178802,3,KPMP_uS-X001Y009_Annotations
True Negative,1806791,3,KPMP_uS-X001Y009_Annotations
True Positive,11846,3,KPMP_uS-X001Y009_Annotations
False Negative,117276,4,KPMP_uS-X001Y009_Annotations
False Positive,540621,4,KPMP_uS-X001Y009_Annotations
True Negative,1397983,4,KPMP_uS-X001Y009_Annotations
True Positive,17720,4,KPMP_uS-X001Y009_Annotations
False Negative,16691,5,KPMP_uS-X001Y009_Annotations
False Positive,751611,5,KPMP_uS-X001Y009_Annotations
True Negative,1305228,5,KPMP_uS-X001Y009_Annotations
True Positive,70,5,KPMP_uS-X001Y009_Annotations
False Negative,211152,6,KPMP_uS-X001Y009_Annotations
False Positive,87110,6,KPMP_uS-X001Y009_Annotations
True Negative,1772574,6,KPMP_uS-X001Y009_Annotations
True Positive,2764,6,KPMP_uS-X001Y009_Annotations
False Negative,700703,1,KPMP_uS-X001Y010_Annotations
False Positive,68085,1,KPMP_uS-X001Y010_Annotations
True Negative,1193009,1,KPMP_uS-X001Y010_Annotations
True Positive,111803,1,KPMP_uS-X001Y010_Annotations
False Negative,445604,2,KPMP_uS-X001Y010_Annotations
False Positive,148618,2,KPMP_uS-X001Y010_Annotations
True Negative,1292875,2,KPMP_uS-X001Y010_Annotations
True Positive,186503,2,KPMP_uS-X001Y010_Annotations
False Negative,81039,3,KPMP_uS-X001Y010_Annotations
False Positive,487356,3,KPMP_uS-X001Y010_Annotations
True Negative,1446126,3,KPMP_uS-X001Y010_Annotations
True Positive,59079,3,KPMP_uS-X001Y010_Annotations
False Negative,445,4,KPMP_uS-X001Y010_Annotations
False Positive,200738,4,KPMP_uS-X001Y010_Annotations
True Negative,1865524,4,KPMP_uS-X001Y010_Annotations
True Positive,6893,4,KPMP_uS-X001Y010_Annotations
False Negative,1915,5,KPMP_uS-X001Y010_Annotations
False Positive,324909,5,KPMP_uS-X001Y010_Annotations
True Negative,1267160,5,KPMP_uS-X001Y010_Annotations
True Positive,479616,5,KPMP_uS-X001Y010_Annotations
False Negative,576364,1,KPMP_uS-X002Y005_Annotations
False Positive,207843,1,KPMP_uS-X002Y005_Annotations
True Negative,821318,1,KPMP_uS-X002Y005_Annotations
True Positive,468075,1,KPMP_uS-X002Y005_Annotations
False Negative,189960,2,KPMP_uS-X002Y005_Annotations
False Positive,563009,2,KPMP_uS-X002Y005_Annotations
True Negative,601773,2,KPMP_uS-X002Y005_Annotations
True Positive,718858,2,KPMP_uS-X002Y005_Annotations
False Negative,37312,3,KPMP_uS-X002Y005_Annotations
False Positive,29817,3,KPMP_uS-X002Y005_Annotations
True Negative,2005502,3,KPMP_uS-X002Y005_Annotations
True Positive,969,3,KPMP_uS-X002Y005_Annotations
False Negative,33128,4,KPMP_uS-X002Y005_Annotations
False Positive,36095,4,KPMP_uS-X002Y005_Annotations
True Negative,1955443,4,KPMP_uS-X002Y005_Annotations
True Positive,48934,4,KPMP_uS-X002Y005_Annotations
False Negative,744004,1,KPMP_uS-X002Y006_Annotations
False Positive,47190,1,KPMP_uS-X002Y006_Annotations
True Negative,1169681,1,KPMP_uS-X002Y006_Annotations
True Positive,112725,1,KPMP_uS-X002Y006_Annotations
False Negative,242323,2,KPMP_uS-X002Y006_Annotations
False Positive,283747,2,KPMP_uS-X002Y006_Annotations
True Negative,1460918,2,KPMP_uS-X002Y006_Annotations
True Positive,86612,2,KPMP_uS-X002Y006_Annotations
False Negative,14300,3,KPMP_uS-X002Y006_Annotations
False Positive,424053,3,KPMP_uS-X002Y006_Annotations
True Negative,1605595,3,KPMP_uS-X002Y006_Annotations
True Positive,29652,3,KPMP_uS-X002Y006_Annotations
False Negative,200171,4,KPMP_uS-X002Y006_Annotations
False Positive,138221,4,KPMP_uS-X002Y006_Annotations
True Negative,1551098,4,KPMP_uS-X002Y006_Annotations
True Positive,184110,4,KPMP_uS-X002Y006_Annotations
False Negative,28378,5,KPMP_uS-X002Y006_Annotations
False Positive,335965,5,KPMP_uS-X002Y006_Annotations
True Negative,1277932,5,KPMP_uS-X002Y006_Annotations
True Positive,431325,5,KPMP_uS-X002Y006_Annotations
False Negative,636529,1,KPMP_uS-X002Y007_Annotations
False Positive,168837,1,KPMP_uS-X002Y007_Annotations
True Negative,735201,1,KPMP_uS-X002Y007_Annotations
True Positive,533033,1,KPMP_uS-X002Y007_Annotations
False Negative,53436,2,KPMP_uS-X002Y007_Annotations
False Positive,555787,2,KPMP_uS-X002Y007_Annotations
True Negative,974843,2,KPMP_uS-X002Y007_Annotations
True Positive,489534,2,KPMP_uS-X002Y007_Annotations
False Negative,33869,3,KPMP_uS-X002Y007_Annotations
False Positive,169141,3,KPMP_uS-X002Y007_Annotations
True Negative,1870207,3,KPMP_uS-X002Y007_Annotations
True Positive,383,3,KPMP_uS-X002Y007_Annotations
False Negative,241760,4,KPMP_uS-X002Y007_Annotations
False Positive,71829,4,KPMP_uS-X002Y007_Annotations
True Negative,1674955,4,KPMP_uS-X002Y007_Annotations
True Positive,85056,4,KPMP_uS-X002Y007_Annotations
False Negative,85732,1,KPMP_uS-X002Y008_Annotations
False Positive,656711,1,KPMP_uS-X002Y008_Annotations
True Negative,387811,1,KPMP_uS-X002Y008_Annotations
True Positive,943346,1,KPMP_uS-X002Y008_Annotations
False Negative,620911,2,KPMP_uS-X002Y008_Annotations
False Positive,35446,2,KPMP_uS-X002Y008_Annotations
True Negative,1197905,2,KPMP_uS-X002Y008_Annotations
True Positive,219338,2,KPMP_uS-X002Y008_Annotations
False Negative,196217,3,KPMP_uS-X002Y008_Annotations
False Positive,210703,3,KPMP_uS-X002Y008_Annotations
True Negative,1658624,3,KPMP_uS-X002Y008_Annotations
True Positive,8056,3,KPMP_uS-X002Y008_Annotations
False Negative,646195,1,KPMP_uS-X002Y009_Annotations
False Positive,134717,1,KPMP_uS-X002Y009_Annotations
True Negative,826718,1,KPMP_uS-X002Y009_Annotations
True Positive,465970,1,KPMP_uS-X002Y009_Annotations
False Negative,134717,2,KPMP_uS-X002Y009_Annotations
False Positive,646195,2,KPMP_uS-X002Y009_Annotations
True Negative,465970,2,KPMP_uS-X002Y009_Annotations
True Positive,826718,2,KPMP_uS-X002Y009_Annotations
False Negative,74181,1,KPMP_uS-X002Y010_Annotations
False Positive,616269,1,KPMP_uS-X002Y010_Annotations
True Negative,641145,1,KPMP_uS-X002Y010_Annotations
True Positive,742005,1,KPMP_uS-X002Y010_Annotations
