Counts,Freq,Cluster,Image
False Negative,684268,1,KPMP_uS-X001Y006_Annotations
False Positive,185819,1,KPMP_uS-X001Y006_Annotations
True Negative,792449,1,KPMP_uS-X001Y006_Annotations
True Positive,411064,1,KPMP_uS-X001Y006_Annotations
False Negative,378995,2,KPMP_uS-X001Y006_Annotations
False Positive,49482,2,KPMP_uS-X001Y006_Annotations
True Negative,1380887,2,KPMP_uS-X001Y006_Annotations
True Positive,264236,2,KPMP_uS-X001Y006_Annotations
False Negative,117738,3,KPMP_uS-X001Y006_Annotations
False Positive,415176,3,KPMP_uS-X001Y006_Annotations
True Negative,1497890,3,KPMP_uS-X001Y006_Annotations
True Positive,42796,3,KPMP_uS-X001Y006_Annotations
False Negative,141561,4,KPMP_uS-X001Y006_Annotations
False Positive,458826,4,KPMP_uS-X001Y006_Annotations
True Negative,1460107,4,KPMP_uS-X001Y006_Annotations
True Positive,13106,4,KPMP_uS-X001Y006_Annotations
False Negative,6000,5,KPMP_uS-X001Y006_Annotations
False Positive,219259,5,KPMP_uS-X001Y006_Annotations
True Negative,1834505,5,KPMP_uS-X001Y006_Annotations
True Positive,13836,5,KPMP_uS-X001Y006_Annotations
False Negative,383106,1,KPMP_uS-X001Y007_Annotations
False Positive,422157,1,KPMP_uS-X001Y007_Annotations
True Negative,933367,1,KPMP_uS-X001Y007_Annotations
True Positive,334970,1,KPMP_uS-X001Y007_Annotations
False Negative,542258,2,KPMP_uS-X001Y007_Annotations
False Positive,49951,2,KPMP_uS-X001Y007_Annotations
True Negative,716895,2,KPMP_uS-X001Y007_Annotations
True Positive,764496,2,KPMP_uS-X001Y007_Annotations
False Negative,9745,3,KPMP_uS-X001Y007_Annotations
False Positive,463001,3,KPMP_uS-X001Y007_Annotations
True Negative,1561829,3,KPMP_uS-X001Y007_Annotations
True Positive,39025,3,KPMP_uS-X001Y007_Annotations
False Negative,486953,1,KPMP_uS-X001Y008_Annotations
False Positive,322381,1,KPMP_uS-X001Y008_Annotations
True Negative,910773,1,KPMP_uS-X001Y008_Annotations
True Positive,353493,1,KPMP_uS-X001Y008_Annotations
False Negative,353710,2,KPMP_uS-X001Y008_Annotations
